"modid","translated","total","remaining","percent","sourceJar","zh_tw_path"
"tooltip","1425","1887","462","75.5","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\actuallyadditions-1.3.24+mc1.21.1.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\tooltip\lang\zh_tw.json"
"crystalix","0","172","172","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\crystalix-2.4.0.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\crystalix\lang\zh_tw.json"
"simplylight","28","191","163","14.7","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\simplylight-1.5.3+1.21.1-b4.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\simplylight\lang\zh_tw.json"
"text","1173","1331","158","88.1","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\AdvancedPeripherals-1.21.1-0.7.59b.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\text\lang\zh_tw.json"
"ars_nouveau","2169","2317","148","93.6","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\ars_affinity-1.21.1-1.1.1.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\ars_nouveau\lang\zh_tw.json"
"message","461","609","148","75.7","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\amendments-1.21-2.0.13-neoforge.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\message\lang\zh_tw.json"
"antiblocksrechiseled","0","144","144","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\antiblocksrechiseled-neo-0.10.8.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\antiblocksrechiseled\lang\zh_tw.json"
"tag","1291","1425","134","90.6","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\artifacts-neoforge-13.1.0.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\tag\lang\zh_tw.json"
"connectedglass","0","120","120","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\connectedglass-1.1.14-neoforge-mc1.21.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\connectedglass\lang\zh_tw.json"
"starbunclemania","0","105","105","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\starbunclemania-1.21.1-1.5.3.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\starbunclemania\lang\zh_tw.json"
"nbt_ac","0","102","102","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\NBTac-NEOFORGE-1.21.1-1.3.10.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\nbt_ac\lang\zh_tw.json"
"modularrouters","268","369","101","72.6","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\modular-routers-13.2.3+mc1.21.1.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\modularrouters\lang\zh_tw.json"
"ars_affinity","0","98","98","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\ars_affinity-1.21.1-1.1.1.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\ars_affinity\lang\zh_tw.json"
"table","0","98","98","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\bookshelf-neoforge-1.21.1-21.1.80.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\table\lang\zh_tw.json"
"leaderboard","0","85","85","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\leaderboards-1.21.1-NeoForge-1.0.0.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\leaderboard\lang\zh_tw.json"
"simpletomb","0","84","84","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\simpletomb-1.21.1-1.4.4.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\simpletomb\lang\zh_tw.json"
"mob_grinding_utils","33","111","78","29.7","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\mob_grinding_utils-1.1.10+mc1.21.1.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\mob_grinding_utils\lang\zh_tw.json"
"utilitarian","0","75","75","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\utilitarian-1.21.1-0.17.1.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\utilitarian\lang\zh_tw.json"
"mininggadgets","0","72","72","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\mininggadgets-1.18.6.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\mininggadgets\lang\zh_tw.json"
"mod_gui","0","70","70","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\BrandonsCore-1.21.1-3.2.1.309.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\mod_gui\lang\zh_tw.json"
"tile","2","70","68","2.9","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\Draconic-Evolution-1.21.1-3.1.4.630.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\tile\lang\zh_tw.json"
"ftbbackups3","0","67","67","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\ftb-backups-3-21.1.3.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\ftbbackups3\lang\zh_tw.json"
"structurify","0","65","65","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\structurify-neoforge-1.0.21+mc1.21.1.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\structurify\lang\zh_tw.json"
"book","1252","1316","64","95.1","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\Apotheosis-1.21.1-8.4.1.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\book\lang\zh_tw.json"
"industrialforegoing","175","237","62","73.8","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\industrialforegoing-1.21-3.6.37.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\industrialforegoing\lang\zh_tw.json"
"hostilenetworks","99","161","62","61.5","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\HostileNeuralNetworks-1.21.1-6.3.0.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\hostilenetworks\lang\zh_tw.json"
"sodium","4","65","61","6.2","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\embeddium-1.0.15+mc1.21.1.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\sodium\lang\zh_tw.json"
"pipe_connector","0","61","61","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\pipe_connector-neoforge-0.5.20.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\pipe_connector\lang\zh_tw.json"
"statuseffectbars","0","58","58","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\statuseffectbars-1.21.1-NeoForge-1.0.2.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\statuseffectbars\lang\zh_tw.json"
"createenchantablemachinery","0","56","56","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\createenchantablemachinery-3.4.3+mc1.21.1-neoforge.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\createenchantablemachinery\lang\zh_tw.json"
"kiwi","2","56","54","3.6","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\Kiwi-1.21.1-NeoForge-15.8.2.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\kiwi\lang\zh_tw.json"
"carbonconfig","0","54","54","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\CarbonConfig-Neoforge-1.21-1.2.9.6.1.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\carbonconfig\lang\zh_tw.json"
"ftbechoes","5","56","51","8.9","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\ftb-echoes-21.1.6.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\ftbechoes\lang\zh_tw.json"
"ftblibrary","10","60","50","16.7","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\ftb-library-neoforge-2101.1.30.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\ftblibrary\lang\zh_tw.json"
"commands","209","257","48","81.3","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\appliedenergistics2-19.2.17.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\commands\lang\zh_tw.json"
"gag","0","48","48","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\gag-neoforge-1.21.1-5.2.0.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\gag\lang\zh_tw.json"
"petrock","0","44","44","0","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\petrock-neo-0.18.7.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\petrock\lang\zh_tw.json"
"advancements","894","936","42","95.5","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\AdvancedPeripherals-1.21.1-0.7.59b.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\advancements\lang\zh_tw.json"
"ftbultimine","38","80","42","47.5","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\ftb-ultimine-neoforge-2101.1.12.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\ftbultimine\lang\zh_tw.json"
"actuallyadditions","307","348","41","88.2","C:\Users\sad79\AppData\Roaming\PrismLauncher\instances\FTB StoneBlock 4\minecraft\mods\actuallyadditions-1.3.24+mc1.21.1.jar","E:\stoneblock4-zh_tw\resourcepacks\sb4-zh_tw\assets\actuallyadditions\lang\zh_tw.json"
