"modid","translated","total","remaining","percent"
"modularrouters","0","371","371","0%"
"rarcompat","3","273","270","1.1%"
"hostilenetworks","172","177","5","97.2%"
"moonlight","46","46","0","100%"
"moofluids","21","21","0","100%"
"moreoverlays","40","40","0","100%"
"more_immersive_wires","31","31","0","100%"
"morphtool","12","12","0","100%"
"nbt_ac","102","102","0","100%"
"occultengineering","196","196","0","100%"
"morered","51","51","0","100%"
"modonomicon","214","214","0","100%"
"merequester","27","27","0","100%"
"metalbarrels","45","45","0","100%"
"mekanismgenerators","364","364","0","100%"
"mekanisticrouters","13","13","0","100%"
"mffs","181","181","0","100%"
"modernfix","155","155","0","100%"
"modernworldcreation","5","5","0","100%"
"mininggadgets","85","85","0","100%"
"mob_grinding_utils","146","146","0","100%"
"placebo","6","6","0","100%"
"pocketstorage","28","28","0","100%"
"pipegoggles","50","50","0","100%"
"pipez","84","84","0","100%"
"polylib","13","13","0","100%"
"projecte","709","709","0","100%"
"psi","1121","1121","0","100%"
"powah","190","190","0","100%"
"productivemetalworks","376","376","0","100%"
"pipe_connector","61","61","0","100%"
"oracle_index","8","8","0","100%"
"oritech","1300","1300","0","100%"
"occultism","3347","3347","0","100%"
"omnitools","23","23","0","100%"
"oritechthings","129","129","0","100%"
"patchouli","92","92","0","100%"
"petrock","64","64","0","100%"
"owo","25","25","0","100%"
"particular","42","42","0","100%"
"justdynathings","83","83","0","100%"
"justenoughbreeding","5","5","0","100%"
"jumpoverfences","3","3","0","100%"
"justdirethings","488","488","0","100%"
"justenoughprofessions","1","1","0","100%"
"kiwi","74","74","0","100%"
"kubejstweaks","4","4","0","100%"
"justhammers","32","32","0","100%"
"justzoom","29","29","0","100%"
"jumbofurnace","18","18","0","100%"
"irregular_implements","618","618","0","100%"
"itemcollectors","15","15","0","100%"
"irons_jewelry","262","262","0","100%"
"irons_spellbooks","1244","1244","0","100%"
"jade","410","410","0","100%"
"jei","305","305","0","100%"
"jei_mekanism_multiblocks","62","62","0","100%"
"jags","19","19","0","100%"
"jearchaeology","23","23","0","100%"
"mecrh","17","17","0","100%"
"megacells","128","128","0","100%"
"me_beam_former","26","26","0","100%"
"measurements","15","15","0","100%"
"mekagenjei","10","10","0","100%"
"mekanism_unleashed","3","3","0","100%"
"mekanismcurios","10","10","0","100%"
"mekanism","3239","3239","0","100%"
"mekanism_lasers","31","31","0","100%"
"mcjtylib","3","3","0","100%"
"lionfishapi","4","4","0","100%"
